site,checkpoint,km,refueling,cutOffTime
Piau,Départ,0.0,Départ,.2021-8-20 11:00
Piau,CP,8.7,Petit Rav,.2021-8-20 13:10
Gèdre,CP,25.2,Petit Rav,.2021-8-20 17:45
Gavarnie,CP,37.4,Gros Rav,.2021-8-20 21:30
Hotellerie du Cirque,CP,40.9,,
Refuge d'Espuguettes,CP,45.0,Petit Rav,.2021-8-21 0:00
Gèdre,CP,61.1,Petit Rav,.2021-8-21 4:30
Luz Saint Sauveur Entrée,CP,74.0,Gros Rav,.2021-8-21 8:45
Luz Saint Sauveur Sortie,CP,74.0,,.2021-8-21 9:15
Ruisseau de Boulou,cp,80.8,,.2021-8-21 12:00
Cabane de Sardiche,CP,81.6,Eau,
Refuge de la Glère,CP,86.8,Petit Rav,
Tournaboup Entrée,CP,93.7,Petit Rav,.2021-8-21 17:30
Tournaboup Sortie,CP,93.7,,.2021-8-21 18:00
Cabane d'Aygues cluses,CP,100.3,Petit Rav,.2021-8-21 21:30
Hourquette Nère,CP,102.4,,
Restaurant Merlans,CP,110.4,Petit Rav,.2021-8-22 1:45
Vielle Aure,Arrivée,123.9,Petit Rav,.2021-8-22 6:00